Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA,
7/4/2015 5:00:00 PM,Central Los Angeles,4,1-hr,µg/m3,N/A,N/A,
7/4/2015 6:00:00 PM,Central Los Angeles,3,1-hr,µg/m3,N/A,N/A,
7/4/2015 7:00:00 PM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
7/4/2015 8:00:00 PM,Central Los Angeles,41,1-hr,µg/m3,N/A,N/A,
7/4/2015 9:00:00 PM,Central Los Angeles,77,1-hr,µg/m3,N/A,N/A,
7/4/2015 10:00:00 PM,Central Los Angeles,70,1-hr,µg/m3,N/A,N/A,
7/4/2015 11:00:00 PM,Central Los Angeles,65,1-hr,µg/m3,N/A,N/A,
7/5/2015 12:00:00 AM,Central Los Angeles,56,1-hr,µg/m3,N/A,N/A,
7/5/2015 1:00:00 AM,Central Los Angeles,47,1-hr,µg/m3,N/A,N/A,
7/5/2015 2:00:00 AM,Central Los Angeles,48,1-hr,µg/m3,N/A,N/A,
7/5/2015 3:00:00 AM,Central Los Angeles,58,1-hr,µg/m3,N/A,N/A,
7/5/2015 4:00:00 AM,Central Los Angeles,31,1-hr,µg/m3,N/A,N/A,
7/5/2015 5:00:00 AM,Central Los Angeles,30,1-hr,µg/m3,N/A,N/A,
7/5/2015 6:00:00 AM,Central Los Angeles,32,1-hr,µg/m3,N/A,N/A,
7/5/2015 7:00:00 AM,Central Los Angeles,34,1-hr,µg/m3,N/A,N/A,
7/5/2015 8:00:00 AM,Central Los Angeles,34,1-hr,µg/m3,N/A,N/A,
7/5/2015 9:00:00 AM,Central Los Angeles,38,1-hr,µg/m3,N/A,N/A,
7/5/2015 10:00:00 AM,Central Los Angeles,31,1-hr,µg/m3,N/A,N/A,
7/5/2015 11:00:00 AM,Central Los Angeles,40,1-hr,µg/m3,N/A,N/A,
7/5/2015 12:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/5/2015 1:00:00 PM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
7/5/2015 2:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/5/2015 3:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/5/2015 4:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/5/2015 5:00:00 PM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
