Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA,
7/5/2016 12:00:00 PM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
7/5/2016 1:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/5/2016 2:00:00 PM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
7/5/2016 3:00:00 PM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
7/5/2016 4:00:00 PM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
7/5/2016 5:00:00 PM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
7/5/2016 6:00:00 PM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
7/5/2016 7:00:00 PM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
7/5/2016 8:00:00 PM,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,
7/5/2016 9:00:00 PM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
7/5/2016 10:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/5/2016 11:00:00 PM,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,
7/6/2016 12:00:00 AM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
7/6/2016 1:00:00 AM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
7/6/2016 2:00:00 AM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/6/2016 3:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/6/2016 4:00:00 AM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/6/2016 5:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/6/2016 6:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/6/2016 7:00:00 AM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
7/6/2016 8:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/6/2016 9:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/6/2016 10:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/6/2016 11:00:00 AM,Central Los Angeles,27,1-hr,µg/m3,N/A,N/A,
7/6/2016 12:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/6/2016 1:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/6/2016 2:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/6/2016 3:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/6/2016 4:00:00 PM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
7/6/2016 5:00:00 PM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
7/6/2016 6:00:00 PM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
7/6/2016 7:00:00 PM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
7/6/2016 8:00:00 PM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
7/6/2016 9:00:00 PM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
7/6/2016 10:00:00 PM,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,
7/6/2016 11:00:00 PM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
7/7/2016 12:00:00 AM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
7/7/2016 1:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/7/2016 2:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/7/2016 3:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/7/2016 4:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/7/2016 5:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/7/2016 6:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/7/2016 7:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/7/2016 8:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/7/2016 10:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/7/2016 11:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/7/2016 12:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
