Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA,
7/1/2022 12:00:00 AM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/1/2022 1:00:00 AM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/1/2022 2:00:00 AM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/1/2022 3:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/1/2022 4:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/1/2022 5:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/1/2022 6:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/1/2022 7:00:00 AM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/1/2022 8:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/1/2022 9:00:00 AM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/1/2022 10:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/1/2022 11:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/1/2022 12:00:00 PM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
7/1/2022 1:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/1/2022 2:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/1/2022 3:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/1/2022 4:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/1/2022 5:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/1/2022 6:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/1/2022 7:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/1/2022 8:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/1/2022 9:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
